Wall time,Epoch,Loss/Validation
1724655425.5966702,0,0.6702046990394592
1724655482.392475,1,0.6164848804473877
1724655539.3761103,2,0.5778030157089233
1724655597.5712533,3,0.5304664373397827
1724655655.3322291,4,0.4972359836101532
1724655712.4908857,5,0.45876845717430115
1724655769.8453352,6,0.4448601305484772
1724655827.3404033,7,0.4045242667198181
1724655885.3145335,8,0.3656538724899292
1724655942.7615879,9,0.3550454080104828
1724656000.3983157,10,0.3447140157222748
1724656057.9243662,11,0.34995904564857483
1724656115.3494742,12,0.30315321683883667
1724656172.72298,13,0.32701629400253296
1724656230.4014254,14,0.2999591827392578
1724656288.358475,15,0.2840642035007477
1724656345.6109095,16,0.3039184510707855
1724656403.0934768,17,0.27237969636917114
1724656460.7709155,18,0.27386268973350525
1724656518.4887884,19,0.28357189893722534
1724656575.9963875,20,0.2648986577987671
1724656633.2584758,21,0.2750586271286011
1724656690.4558783,22,0.2521425187587738
1724656747.184824,23,0.27256646752357483
1724656801.9206982,24,0.24830161035060883
1724656856.6180677,25,0.26185357570648193
1724656910.7868302,26,0.25836750864982605
1724656965.1002965,27,0.26884016394615173
1724657021.0110364,28,0.24808330833911896
1724657076.4402413,29,0.25622400641441345
1724657131.5247736,30,0.2743269205093384
1724657186.9439907,31,0.2745203971862793
1724657242.311805,32,0.24536669254302979
1724657297.9078047,33,0.26015913486480713
1724657353.442088,34,0.25213512778282166
1724657409.1235003,35,0.27004221081733704
1724657464.7336986,36,0.25435465574264526
1724657520.6922429,37,0.2847495973110199
1724657576.8681476,38,0.31024375557899475
1724657633.723501,39,0.24878324568271637
1724657690.7179968,40,0.26290443539619446
1724657748.5857105,41,0.27684465050697327
1724657808.079971,42,0.27834901213645935
1724657867.3795207,43,0.29217976331710815
1724657925.7288215,44,0.2572760581970215
1724657984.6017652,45,0.26599782705307007
1724658042.9967709,46,0.26583853363990784
1724658101.9680603,47,0.2577522397041321
1724658161.6491256,48,0.26498106122016907
1724658220.0977514,49,0.26643288135528564
1724658278.2691846,50,0.2662002146244049
1724658335.8433166,51,0.2916510999202728
1724658393.5174696,52,0.28836628794670105
1724658451.350921,53,0.29138582944869995
1724658509.210302,54,0.30401894450187683
1724658566.6576092,55,0.29429545998573303
1724658624.3264737,56,0.29431402683258057
1724658681.886003,57,0.2923645079135895
1724658739.3972464,58,0.29321426153182983
